kind	mock	sample	tool	variant	TP	FP	FN	precision	recall	f1	aupr	bray_curtis	l2
2bRAD	MSA1002	BcgI_MSA1002_0_0.001ng_1	Strain2bScan	120	4	2	16	0.6667	0.2	0.3077	0.1212	0.7354	0.3906
2bRAD	MSA1002	BcgI_MSA1002_0_0.001ng_1	Strain2bScan	164	4	2	16	0.6667	0.2	0.3077	0.1087	0.7354	0.3908
2bRAD	MSA1002	BcgI_MSA1002_0_0.01ng_1	Strain2bScan	120	18	2	2	0.9	0.9	0.9	0.8975	0.3048	0.1609
2bRAD	MSA1002	BcgI_MSA1002_0_0.01ng_1	Strain2bScan	164	18	2	2	0.9	0.9	0.9	0.8975	0.3061	0.1626
2bRAD	MSA1002	BcgI_MSA1002_0_0.1ng_1	Strain2bScan	120	19	2	1	0.9048	0.95	0.9268	0.9476	0.3332	0.2067
2bRAD	MSA1002	BcgI_MSA1002_0_0.1ng_1	Strain2bScan	164	19	2	1	0.9048	0.95	0.9268	0.9476	0.3339	0.2069
2bRAD	MSA1002	BcgI_MSA1002_0_1ng_1	Strain2bScan	120	19	1	1	0.95	0.95	0.95	0.9487	0.3289	0.2103
2bRAD	MSA1002	BcgI_MSA1002_0_1ng_1	Strain2bScan	164	19	1	1	0.95	0.95	0.95	0.9487	0.3295	0.2104
2bRAD	MSA1002	BcgI_MSA1002_90_100ng_1	Strain2bScan	164	19	1	1	0.95	0.95	0.95	0.9487	0.2472	0.1587
2bRAD	MSA1002	BcgI_MSA1002_95_100ng_1	Strain2bScan	164	19	0	1	1.0	0.95	0.9744	0.95	0.2534	0.1702
2bRAD	MSA1002	BcgI_MSA1002_99.9_100ng_1	Strain2bScan	164	14	0	6	1.0	0.7	0.8235	0.7	0.7728	0.798
2bRAD	MSA1002	BcgI_MSA1002_99_100ng_1	Strain2bScan	164	19	0	1	1.0	0.95	0.9744	0.95	0.2576	0.1781
2bRAD	MSA1003	BcgI_MSA1003_0_100ng_1	Strain2bScan	120	19	0	1	1.0	0.95	0.9744	0.95	0.1047	0.1124
2bRAD	MSA1003	BcgI_MSA1003_0_100ng_1	Strain2bScan	164	19	6	1	0.76	0.95	0.8444	0.94	0.105	0.1123
2bRAD	MSA1003	BcgI_MSA1003_0_100ng_2	Strain2bScan	120	18	0	2	1.0	0.9	0.9474	0.9	0.093	0.0937
2bRAD	MSA1003	BcgI_MSA1003_0_100ng_2	Strain2bScan	164	18	4	2	0.8182	0.9	0.8571	0.8598	0.0933	0.0935
2bRAD	MSA1003	BcgI_MSA1003_0_100ng_3	Strain2bScan	120	19	0	1	1.0	0.95	0.9744	0.95	0.1043	0.1121
2bRAD	MSA1003	BcgI_MSA1003_0_100ng_3	Strain2bScan	164	19	4	1	0.8261	0.95	0.8837	0.9457	0.1045	0.112
2bRAD	MSA1005	BcgI_MSA1005_0_100ng_1	Strain2bScan	164	6	5	0	0.5455	1.0	0.7059	0.9621	0.1964	0.2232
2bRAD	MSA1005	BcgI_MSA1005_0_100ng_2	Strain2bScan	164	6	2	0	0.75	1.0	0.8571	0.9792	0.1739	0.202
2bRAD	MSA1005	BcgI_MSA1005_0_100ng_3	Strain2bScan	164	6	3	0	0.6667	1.0	0.8	0.9722	0.1786	0.2023
2bRAD	MSA1007	BcgI_MSA1007_0_100ng_1	Strain2bScan	164	5	7	1	0.4167	0.8333	0.5556	0.7847	0.186	0.204
2bRAD	MSA1007	BcgI_MSA1007_0_100ng_2	Strain2bScan	164	5	9	1	0.3571	0.8333	0.5	0.7798	0.1799	0.2026
2bRAD	MSA1007	BcgI_MSA1007_0_100ng_3	Strain2bScan	164	5	12	1	0.2941	0.8333	0.4348	0.7745	0.1832	0.2025
WMS	MSA1002	WMS_MSA1002_0_100ng_1	Strain2bScan	120	20	1	0	0.9524	1.0	0.9756	0.9988	0.2228	0.13
WMS	MSA1002	WMS_MSA1002_0_100ng_1	Strain2bScan	164	20	1	0	0.9524	1.0	0.9756	0.9988	0.2228	0.13
WMS	MSA1002	WMS_MSA1002_0_100ng_1	StrainScan	-	20	0	0	1.0	1.0	1.0	1.0	0.2169	0.1263
WMS	MSA1002	WMS_MSA1002_0_100ng_1	inStrain	derep98	19	0	1	1.0	0.95	0.9744	0.95	0.2129	0.1222
WMS	MSA1002	WMS_MSA1002_0_100ng_2	Strain2bScan	120	20	0	0	1.0	1.0	1.0	1.0	0.2168	0.1332
WMS	MSA1002	WMS_MSA1002_0_100ng_2	Strain2bScan	164	20	0	0	1.0	1.0	1.0	1.0	0.2168	0.1332
WMS	MSA1002	WMS_MSA1002_0_100ng_2	StrainScan	-	20	0	0	1.0	1.0	1.0	1.0	0.2123	0.1337
